Month,Day of Month,Julian Day,Normal Max Temp,Normal MinTemp,Normal Precipitation
January,1,1,50.6,30.9,0.1
January,2,2,50.5,30.8,0.1
January,3,3,50.4,30.8,0.11
January,4,4,50.4,30.7,0.11
January,5,5,50.4,30.7,0.11
January,6,6,50.3,30.7,0.11
January,7,7,50.3,30.6,0.12
January,8,8,50.3,30.6,0.11
January,9,9,50.3,30.6,0.11
January,10,10,50.3,30.6,0.12
January,11,11,50.4,30.6,0.12
January,12,12,50.4,30.7,0.12
January,13,13,50.4,30.7,0.12
January,14,14,50.5,30.7,0.12
January,15,15,50.5,30.7,0.11
January,16,16,50.6,30.8,0.12
January,17,17,50.7,30.8,0.12
January,18,18,50.8,30.9,0.11
January,19,19,50.8,30.9,0.11
January,20,20,50.9,31,0.12
January,21,21,51,31.1,0.11
January,22,22,51.1,31.1,0.11
January,23,23,51.2,31.2,0.12
January,24,24,51.4,31.3,0.11
January,25,25,51.5,31.4,0.11
January,26,26,51.6,31.4,0.11
January,27,27,51.7,31.5,0.11
January,28,28,51.9,31.6,0.11
January,29,29,52,31.7,0.11
January,30,30,52.2,31.8,0.11
January,31,31,52.3,31.9,0.12
February,1,32,52.5,32,0.11
February,2,33,52.6,32.1,0.12
February,3,34,52.8,32.2,0.11
February,4,35,53,32.3,0.11
February,5,36,53.1,32.4,0.11
February,6,37,53.3,32.6,0.11
February,7,38,53.5,32.7,0.11
February,8,39,53.7,32.8,0.11
February,9,40,53.9,32.9,0.1
February,10,41,54.1,33.1,0.11
February,11,42,54.3,33.2,0.11
February,12,43,54.5,33.3,0.1
February,13,44,54.7,33.5,0.12
February,14,45,54.9,33.6,0.11
February,15,46,55.2,33.8,0.12
February,16,47,55.4,33.9,0.12
February,17,48,55.6,34.1,0.12
February,18,49,55.9,34.2,0.11
February,19,50,56.1,34.4,0.12
February,20,51,56.3,34.5,0.12
February,21,52,56.6,34.7,0.12
February,22,53,56.9,34.9,0.13
February,23,54,57.1,35.1,0.12
February,24,55,57.4,35.2,0.13
February,25,56,57.6,35.4,0.12
February,26,57,57.9,35.6,0.12
February,27,58,58.2,35.8,0.12
February,28,59,58.5,36,0.12
February,29,60,58.6,36.1,N/A
March,1,61,58.8,36.2,0.13
March,2,62,59.1,36.4,0.13
March,3,63,59.3,36.7,0.13
March,4,64,59.6,36.9,0.13
March,5,65,59.9,37.1,0.13
March,6,66,60.2,37.3,0.13
March,7,67,60.5,37.6,0.14
March,8,68,60.8,37.8,0.14
March,9,69,61.2,38,0.14
March,10,70,61.5,38.3,0.14
March,11,71,61.8,38.5,0.14
March,12,72,62.1,38.8,0.13
March,13,73,62.4,39,0.14
March,14,74,62.7,39.3,0.13
March,15,75,63,39.5,0.14
March,16,76,63.4,39.8,0.14
March,17,77,63.7,40.1,0.14
March,18,78,64,40.3,0.13
March,19,79,64.3,40.6,0.13
March,20,80,64.7,40.9,0.13
March,21,81,65,41.1,0.13
March,22,82,65.3,41.4,0.12
March,23,83,65.6,41.7,0.13
March,24,84,65.9,42,0.12
March,25,85,66.3,42.2,0.13
March,26,86,66.6,42.5,0.14
March,27,87,66.9,42.8,0.13
March,28,88,67.2,43.1,0.14
March,29,89,67.5,43.3,0.13
March,30,90,67.8,43.6,0.13
March,31,91,68.1,43.9,0.12
April,1,92,68.4,44.2,0.12
April,2,93,68.8,44.4,0.11
April,3,94,69.1,44.7,0.11
April,4,95,69.4,45,0.1
April,5,96,69.6,45.2,0.1
April,6,97,69.9,45.5,0.1
April,7,98,70.2,45.8,0.1
April,8,99,70.5,46,0.1
April,9,100,70.8,46.3,0.11
April,10,101,71.1,46.6,0.1
April,11,102,71.3,46.8,0.1
April,12,103,71.6,47.1,0.1
April,13,104,71.9,47.4,0.09
April,14,105,72.1,47.6,0.09
April,15,106,72.4,47.9,0.1
April,16,107,72.7,48.1,0.09
April,17,108,72.9,48.4,0.1
April,18,109,73.2,48.7,0.09
April,19,110,73.4,48.9,0.1
April,20,111,73.6,49.2,0.1
April,21,112,73.9,49.4,0.09
April,22,113,74.1,49.7,0.1
April,23,114,74.3,50,0.1
April,24,115,74.6,50.2,0.09
April,25,116,74.8,50.5,0.09
April,26,117,75,50.7,0.09
April,27,118,75.3,51,0.09
April,28,119,75.5,51.3,0.09
April,29,120,75.7,51.5,0.09
April,30,121,75.9,51.8,0.08
May,1,122,76.1,52.1,0.09
May,2,123,76.4,52.3,0.08
May,3,124,76.6,52.6,0.09
May,4,125,76.8,52.9,0.09
May,5,126,77,53.2,0.1
May,6,127,77.2,53.4,0.1
May,7,128,77.5,53.7,0.09
May,8,129,77.7,54,0.1
May,9,130,77.9,54.3,0.11
May,10,131,78.1,54.6,0.1
May,11,132,78.4,54.9,0.1
May,12,133,78.6,55.2,0.1
May,13,134,78.8,55.5,0.1
May,14,135,79,55.8,0.11
May,15,136,79.3,56.1,0.1
May,16,137,79.5,56.4,0.1
May,17,138,79.7,56.7,0.1
May,18,139,80,57,0.11
May,19,140,80.2,57.3,0.1
May,20,141,80.5,57.7,0.11
May,21,142,80.7,58,0.11
May,22,143,81,58.3,0.11
May,23,144,81.2,58.6,0.12
May,24,145,81.5,59,0.11
May,25,146,81.8,59.3,0.12
May,26,147,82,59.6,0.12
May,27,148,82.3,60,0.11
May,28,149,82.5,60.3,0.12
May,29,150,82.8,60.6,0.12
May,30,151,83.1,61,0.13
May,31,152,83.3,61.3,0.12
June,1,153,83.6,61.6,0.13
June,2,154,83.9,62,0.13
June,3,155,84.2,62.3,0.12
June,4,156,84.4,62.6,0.12
June,5,157,84.7,62.9,0.12
June,6,158,85,63.3,0.12
June,7,159,85.2,63.6,0.11
June,8,160,85.5,63.9,0.12
June,9,161,85.7,64.2,0.12
June,10,162,86,64.5,0.12
June,11,163,86.3,64.8,0.11
June,12,164,86.5,65.1,0.11
June,13,165,86.7,65.4,0.11
June,14,166,87,65.7,0.12
June,15,167,87.2,65.9,0.11
June,16,168,87.4,66.2,0.12
June,17,169,87.7,66.5,0.12
June,18,170,87.9,66.7,0.11
June,19,171,88.1,67,0.11
June,20,172,88.3,67.2,0.12
June,21,173,88.5,67.4,0.11
June,22,174,88.6,67.6,0.12
June,23,175,88.8,67.8,0.12
June,24,176,89,68,0.11
June,25,177,89.1,68.2,0.12
June,26,178,89.3,68.4,0.11
June,27,179,89.4,68.6,0.12
June,28,180,89.6,68.7,0.12
June,29,181,89.7,68.9,0.12
June,30,182,89.8,69,0.12
July,1,183,89.9,69.2,0.13
July,2,184,90,69.3,0.13
July,3,185,90.1,69.4,0.13
July,4,186,90.1,69.5,0.14
July,5,187,90.2,69.6,0.13
July,6,188,90.3,69.7,0.14
July,7,189,90.3,69.8,0.13
July,8,190,90.3,69.8,0.14
July,9,191,90.4,69.9,0.14
July,10,192,90.4,69.9,0.15
July,11,193,90.4,70,0.16
July,12,194,90.4,70,0.15
July,13,195,90.4,70.1,0.16
July,14,196,90.4,70.1,0.16
July,15,197,90.4,70.1,0.17
July,16,198,90.4,70.1,0.16
July,17,199,90.4,70.1,0.17
July,18,200,90.4,70.1,0.17
July,19,201,90.3,70.1,0.16
July,20,202,90.3,70.1,0.16
July,21,203,90.3,70.1,0.16
July,22,204,90.2,70.1,0.16
July,23,205,90.2,70.1,0.16
July,24,206,90.1,70.1,0.16
July,25,207,90.1,70,0.16
July,26,208,90,70,0.16
July,27,209,90,70,0.15
July,28,210,89.9,69.9,0.15
July,29,211,89.9,69.9,0.16
July,30,212,89.8,69.9,0.17
July,31,213,89.8,69.8,0.16
August,1,214,89.7,69.8,0.14
August,2,215,89.6,69.7,0.14
August,3,216,89.6,69.7,0.14
August,4,217,89.5,69.6,0.15
August,5,218,89.5,69.6,0.14
August,6,219,89.4,69.5,0.15
August,7,220,89.3,69.5,0.14
August,8,221,89.3,69.4,0.14
August,9,222,89.2,69.4,0.13
August,10,223,89.1,69.3,0.13
August,11,224,89,69.2,0.12
August,12,225,88.9,69.2,0.12
August,13,226,88.9,69.1,0.12
August,14,227,88.8,69,0.12
August,15,228,88.7,68.9,0.12
August,16,229,88.6,68.8,0.12
August,17,230,88.5,68.7,0.13
August,18,231,88.4,68.6,0.13
August,19,232,88.3,68.5,0.13
August,20,233,88.2,68.4,0.12
August,21,234,88,68.3,0.14
August,22,235,87.9,68.2,0.15
August,23,236,87.8,68,0.16
August,24,237,87.6,67.9,0.16
August,25,238,87.5,67.7,0.15
August,26,239,87.3,67.6,0.16
August,27,240,87.1,67.4,0.15
August,28,241,87,67.2,0.14
August,29,242,86.8,67,0.15
August,30,243,86.6,66.8,0.13
August,31,244,86.4,66.6,0.14
September,1,245,86.2,66.4,0.15
September,2,246,86,66.2,0.17
September,3,247,85.7,65.9,0.16
September,4,248,85.5,65.7,0.15
September,5,249,85.3,65.4,0.16
September,6,250,85,65.1,0.16
September,7,251,84.8,64.8,0.16
September,8,252,84.5,64.5,0.15
September,9,253,84.2,64.2,0.16
September,10,254,83.9,63.9,0.17
September,11,255,83.6,63.6,0.15
September,12,256,83.3,63.2,0.16
September,13,257,83,62.9,0.16
September,14,258,82.7,62.5,0.16
September,15,259,82.4,62.2,0.15
September,16,260,82.1,61.8,0.16
September,17,261,81.8,61.4,0.15
September,18,262,81.5,61,0.15
September,19,263,81.1,60.6,0.14
September,20,264,80.8,60.2,0.14
September,21,265,80.5,59.8,0.12
September,22,266,80.1,59.4,0.12
September,23,267,79.8,59,0.12
September,24,268,79.4,58.6,0.13
September,25,269,79.1,58.1,0.12
September,26,270,78.8,57.7,0.12
September,27,271,78.4,57.3,0.13
September,28,272,78.1,56.9,0.13
September,29,273,77.8,56.4,0.13
September,30,274,77.4,56,0.13
October,1,275,77.1,55.6,0.11
October,2,276,76.8,55.1,0.11
October,3,277,76.5,54.7,0.11
October,4,278,76.1,54.3,0.12
October,5,279,75.8,53.9,0.11
October,6,280,75.5,53.4,0.11
October,7,281,75.2,53,0.11
October,8,282,74.9,52.6,0.11
October,9,283,74.6,52.2,0.11
October,10,284,74.3,51.8,0.1
October,11,285,74,51.4,0.11
October,12,286,73.7,51,0.11
October,13,287,73.4,50.7,0.1
October,14,288,73.2,50.3,0.11
October,15,289,72.9,49.9,0.1
October,16,290,72.6,49.5,0.11
October,17,291,72.3,49.2,0.1
October,18,292,72.1,48.8,0.1
October,19,293,71.8,48.5,0.1
October,20,294,71.5,48.2,0.1
October,21,295,71.3,47.8,0.11
October,22,296,71,47.5,0.1
October,23,297,70.7,47.2,0.1
October,24,298,70.5,46.9,0.1
October,25,299,70.2,46.6,0.11
October,26,300,69.9,46.3,0.09
October,27,301,69.7,46,0.1
October,28,302,69.4,45.7,0.1
October,29,303,69.1,45.4,0.1
October,30,304,68.9,45.2,0.1
October,31,305,68.6,44.9,0.1
November,1,306,68.3,44.6,0.11
November,2,307,68,44.3,0.1
November,3,308,67.8,44.1,0.11
November,4,309,67.5,43.8,0.11
November,5,310,67.2,43.5,0.1
November,6,311,66.9,43.3,0.1
November,7,312,66.6,43,0.11
November,8,313,66.2,42.8,0.11
November,9,314,65.9,42.5,0.11
November,10,315,65.6,42.3,0.1
November,11,316,65.3,42,0.1
November,12,317,65,41.7,0.1
November,13,318,64.6,41.5,0.1
November,14,319,64.3,41.2,0.11
November,15,320,63.9,41,0.1
November,16,321,63.6,40.7,0.1
November,17,322,63.2,40.4,0.11
November,18,323,62.9,40.2,0.1
November,19,324,62.5,39.9,0.1
November,20,325,62.1,39.6,0.1
November,21,326,61.8,39.4,0.11
November,22,327,61.4,39.1,0.1
November,23,328,61,38.8,0.1
November,24,329,60.6,38.6,0.11
November,25,330,60.3,38.3,0.1
November,26,331,59.9,38,0.11
November,27,332,59.5,37.8,0.1
November,28,333,59.1,37.5,0.1
November,29,334,58.8,37.2,0.11
November,30,335,58.4,36.9,0.1
December,1,336,58,36.7,0.1
December,2,337,57.6,36.4,0.1
December,3,338,57.3,36.1,0.11
December,4,339,56.9,35.9,0.1
December,5,340,56.6,35.6,0.1
December,6,341,56.2,35.3,0.1
December,7,342,55.9,35.1,0.1
December,8,343,55.5,34.8,0.1
December,9,344,55.2,34.6,0.09
December,10,345,54.9,34.3,0.1
December,11,346,54.6,34.1,0.1
December,12,347,54.3,33.9,0.1
December,13,348,54,33.7,0.09
December,14,349,53.7,33.4,0.1
December,15,350,53.4,33.2,0.1
December,16,351,53.2,33,0.09
December,17,352,52.9,32.8,0.1
December,18,353,52.7,32.6,0.1
December,19,354,52.5,32.4,0.09
December,20,355,52.2,32.3,0.1
December,21,356,52,32.1,0.1
December,22,357,51.9,31.9,0.1
December,23,358,51.7,31.8,0.11
December,24,359,51.5,31.7,0.1
December,25,360,51.3,31.5,0.1
December,26,361,51.2,31.4,0.1
December,27,362,51.1,31.3,0.1
December,28,363,50.9,31.2,0.1
December,29,364,50.8,31.1,0.1
December,30,365,50.7,31,0.1
December,31,366,50.6,30.9,0.09
